t,S,I,R
13.421508743940265,717,139,144
13.432778192776798,717,138,145
13.441849880860563,717,137,146
13.45669468213191,717,136,147
13.478308701782202,717,135,148
13.48082032053764,716,136,148
13.485728437062116,715,137,148
13.524945496787945,715,136,149
13.553536940168517,714,137,149
13.564489229784549,713,138,149
13.590716888149485,712,139,149
13.593270121082092,711,140,149
13.605027704695624,710,141,149
13.617586919618672,709,142,149
13.652600961420118,709,141,150
13.661023823900504,709,140,151
13.66851073019465,708,141,151
13.674278335534089,707,142,151
13.679515719293175,707,141,152
13.679709138252203,707,140,153
13.683953177314695,707,139,154
13.698674013686507,707,138,155
13.698855740081843,706,139,155
13.71366711771775,705,140,155
13.713962941898203,705,139,156
13.714744018805877,704,140,156
13.720440045103036,704,139,157
13.74637426178953,703,140,157
13.754653912458096,703,139,158
13.758508785799332,703,138,159
13.761259413779182,702,139,159
13.774423304839845,701,140,159
13.774660596760272,701,139,160
13.841762986949469,701,138,161
13.892731423335041,701,137,162
13.913996811540843,700,138,162
13.916557014858977,699,139,162
13.928229755176977,699,138,163
13.937972403486032,699,137,164
13.944388685251642,698,138,164
13.952750302056927,698,137,165
14.00026232843612,697,138,165
14.008965093334469,696,139,165
14.010876777437296,696,138,166
14.01414880366791,695,139,166
14.024822853370377,695,138,167
14.026741207425093,694,139,167
14.033803736764176,694,138,168
14.048785554608845,693,139,168
14.10822502874796,693,138,169
14.125718049790633,692,139,169
14.127006787339596,691,140,169
14.14157780436385,690,141,169
14.149422907635989,690,140,170
14.163239574242072,689,141,170
14.167337610819306,688,142,170
14.168036816882433,687,143,170
14.171637704218028,686,144,170
14.188639121644787,685,145,170
14.189592214157464,684,146,170
14.201529327887954,684,145,171
14.203104217981895,683,146,171
14.203994044287066,682,147,171
14.204345439131329,682,146,172
14.226858087512287,682,145,173
14.258529601286055,681,146,173
14.276889214965186,680,147,173
14.27913322917447,679,148,173
14.283447152145056,679,147,174
14.284483347916904,678,148,174
14.286877378359407,677,149,174
14.308011012843071,677,148,175
14.316285298103454,676,149,175
14.319841806761204,675,150,175
14.320327983066669,675,149,176
14.350908136318523,675,148,177
14.36055038378667,675,147,178
14.361636230616778,675,146,179
14.369303198792995,675,145,180
14.37971656342734,675,144,181
14.382003765408708,674,145,181
14.386181305773535,673,146,181
14.406189535251787,673,145,182
14.407673997649523,673,144,183
14.44035954890914,673,143,184
14.447821345674608,672,144,184
14.464513838843008,671,145,184
14.474222795146503,671,144,185
14.481227567015349,670,145,185
14.493241103503639,670,144,186
14.497627353068452,670,143,187
14.523092668191934,670,142,188
14.542453068763008,670,141,189
14.546839323159249,669,142,189
14.563979314160143,669,141,190
14.564684337335015,668,142,190
14.572950888085987,668,141,191
14.579136981950207,668,140,192
14.59413024669006,668,139,193
14.598628209547925,668,138,194
14.610178257453775,667,139,194
14.614209102365557,666,140,194
14.633017182105084,666,139,195
14.645444719586283,666,138,196
14.654243756661739,666,137,197
14.682200014868961,665,138,197
14.682673727414967,664,139,197
14.70156214403728,663,140,197
14.701887364857217,662,141,197
14.708248155435887,662,140,198
14.722367357647,661,141,198
14.754330190053626,661,140,199
14.762769124287116,660,141,199
14.779446386645999,660,140,200
14.823295830661463,659,141,200
14.827514948348474,658,142,200
14.842469752508268,657,143,200
14.858014394083385,656,144,200
14.875482338319495,655,145,200
14.877283740945872,655,144,201
14.913170636658867,654,145,201
14.92178044025272,653,146,201
14.922744144085076,653,145,202
14.941260750090663,653,144,203
14.949348040765724,653,143,204
14.953184083309415,652,144,204
14.97284112542163,651,145,204
14.990680248722496,651,144,205
15.042779939308902,651,143,206
15.046454762392381,650,144,206
15.057319581500009,650,143,207
15.060001454687193,650,142,208
15.072491909842569,650,141,209
15.073571057110293,649,142,209
15.075464328814771,648,143,209
15.101307934732668,648,142,210
15.104536200245995,648,141,211
15.10641017052201,647,142,211
15.133026805341744,647,141,212
15.140135877596414,647,140,213
15.1436729072425,646,141,213
15.144096595426769,645,142,213
15.15354442715267,644,143,213
15.161870716691737,644,142,214
15.184673335656836,644,141,215
15.201279229759074,643,142,215
15.21971969031901,642,143,215
15.234907476895172,641,144,215
15.239241408590408,641,143,216
15.253367136138671,641,142,217
15.259881232710407,640,143,217
15.262108684312402,639,144,217
15.267447037060194,638,145,217
15.282481149412346,638,144,218
15.285759179059497,638,143,219
15.29793237479847,637,144,219
15.30717222876588,637,143,220
15.308080824209135,637,142,221
15.331876838730047,636,143,221
15.368379549485804,635,144,221
15.376489138853884,634,145,221
15.391260660112216,634,144,222
15.400251821160905,634,143,223
15.403385982035132,634,142,224
15.422588924794628,633,143,224
15.458814279679086,633,142,225
15.50346858773362,632,143,225
15.510665798068251,632,142,226
15.511718292568379,631,143,226
15.572036862751272,630,144,226
15.578218577139921,630,143,227
15.581991754599526,629,144,227
15.587780410263242,629,143,228
15.59673265070908,629,142,229
15.60192161785475,628,143,229
15.60413872993643,628,142,230
15.626607815701414,627,143,230
15.65244600603881,626,144,230
15.664019583369658,626,143,231
15.666191980569646,626,142,232
15.688605020566254,625,143,232
15.714321494117902,624,144,232
15.730642945405677,624,143,233
15.75227773800454,623,144,233
15.757865515068676,622,145,233
15.764460761158162,622,144,234
15.766276609450394,622,143,235
15.807912456497725,621,144,235
15.810348382096116,620,145,235
15.81814134312968,619,146,235
15.842727616945501,619,145,236
15.844210209164999,619,144,237
15.84485814658021,619,143,238
15.867538039570121,619,142,239
15.889044702549523,619,141,240
15.899194405384177,618,142,240
15.907929595143207,618,141,241
15.911301448466382,617,142,241
15.926869016599076,616,143,241
15.93714400874645,615,144,241
15.938337932352622,614,145,241
15.944460127571737,614,144,242
15.966224660420117,614,143,243
15.971489690537064,614,142,244
15.976279548465111,613,143,244
15.9814515250298,612,144,244
16.00006710815993,612,143,245
16.00134587237231,611,144,245
16.002363234288136,611,143,246
16.010494296007526,610,144,246
16.017768156216803,609,145,246
16.018370719069203,609,144,247
16.044843644934854,609,143,248
16.047531717368898,608,144,248
16.05295200463605,608,143,249
16.05678261258872,608,142,250
16.06710926192081,607,143,250
16.08723263333819,607,142,251
16.1053224137935,607,141,252
16.111754069345004,607,140,253
16.1201924338126,606,141,253
16.122646821995602,606,140,254
16.123587430833993,606,139,255
16.15488782431784,606,138,256
16.15746899396836,606,137,257
16.16288349844629,606,136,258
16.166924934170634,606,135,259
16.17005361020779,605,136,259
16.173365801801882,605,135,260
16.177115015384697,604,136,260
16.18045982431531,603,137,260
16.1972982631371,603,136,261
16.198420080770102,602,137,261
16.21392378975633,602,136,262
16.230912312534542,601,137,262
16.25756741539781,600,138,262
16.284711579953694,599,139,262
16.32765132303625,598,140,262
16.36715700186412,598,139,263
16.388093535168817,597,140,263
16.40162528534463,596,141,263
16.407127250715586,595,142,263
16.411343274650562,595,141,264
16.441267252332302,594,142,264
16.461766584449116,593,143,264
16.469845350465583,592,144,264
16.54011891031526,592,143,265
16.544660826121373,592,142,266
16.546895545027002,591,143,266
16.58721901854702,590,144,266
16.612261398827634,590,143,267
16.62486851677851,589,144,267
16.641317797758557,588,145,267
16.650200766592597,588,144,268
16.65478503466438,587,145,268
16.657292871384215,586,146,268
16.658767113169862,586,145,269
16.66081964792924,586,144,270
16.66535220609046,585,145,270
16.676341014650408,585,144,271
16.69699357881981,585,143,272
16.70848996232065,584,144,272
16.723344536280266,583,145,272
16.723512413140885,582,146,272
16.72512536051069,582,145,273
16.732241692477754,581,146,273
16.737552566497815,580,147,273
16.748020521645717,580,146,274
16.783103671777198,580,145,275
16.783677876048337,579,146,275
16.7927854575665,578,147,275
16.795307428828416,577,148,275
16.796747764553924,577,147,276
16.80027400989481,576,148,276
16.800483205704314,575,149,276
16.810648902295807,575,148,277
16.84343685395956,574,149,277
16.858790562454654,573,150,277
16.873616621362796,573,149,278
16.88345749762955,573,148,279
16.909622718296017,573,147,280
16.932699140706184,573,146,281
16.973735915341678,572,147,281
16.977089496845256,571,148,281
16.991572302704846,570,149,281
17.005918353326287,570,148,282
17.02167967433861,570,147,283
17.03313356988158,569,148,283
17.046923060158242,569,147,284
17.0554890820055,569,146,285
17.067977797956253,568,147,285
17.086280993479445,567,148,285
17.105011896936308,566,149,285
17.116162863462115,565,150,285
17.116718348418683,564,151,285
17.117102238906593,563,152,285
17.120908994619764,562,153,285
17.123044766158287,562,152,286
17.14404417730606,562,151,287
17.161882100507587,562,150,288
17.16837612970833,562,149,289
17.168815093428496,562,148,290
17.17376689954148,562,147,291
17.199981956364667,562,146,292
17.211843516405814,562,145,293
17.241379924400373,561,146,293
17.244475893978333,561,145,294
17.24648263957534,560,146,294
17.246750876851344,559,147,294
17.251911308844242,558,148,294
17.25231486939247,558,147,295
17.33828007256311,558,146,296
17.35907570126034,557,147,296
17.37060421168254,557,146,297
17.391490623469878,556,147,297
17.395410223386783,555,148,297
17.400591477825902,554,149,297
17.412560785867097,553,150,297
17.426677709700115,553,149,298
17.444211985409353,553,148,299
17.445589407652616,553,147,300
17.446391947847786,552,148,300
17.447332124128,552,147,301
17.482907600247746,551,148,301
17.490525246234533,551,147,302
17.494568994255424,551,146,303
17.49727150822046,551,145,304
17.49911144997629,550,146,304
17.51234854103938,549,147,304
17.513721961361313,549,146,305
17.539069596359244,548,147,305
17.54693751565429,547,148,305
17.57988877391572,546,149,305
17.596195719513354,546,148,306
17.603591275494754,546,147,307
17.630174110795746,546,146,308
17.64663579713213,546,145,309
17.656771730781344,545,146,309
17.708756685011874,544,147,309
17.710696445768964,543,148,309
17.727825801780597,542,149,309
17.735567892519466,541,150,309
17.750626015160062,541,149,310
